date,title,year,rating,rewatch,liked,reviewed,url,reviewUrl,slug,filmUid,lid
2024-12-04,Strange Wilderness,2008,3,0,0,0,https://letterboxd.com/nichtlegacy/film/strange-wilderness/,,strange-wilderness,film:43253,1Owi
2024-12-03,Wet Hot American Summer,2001,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/wet-hot-american-summer/,,wet-hot-american-summer,film:50465,27hw
2024-12-03,Good Burger,1997,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/good-burger/,,good-burger,film:42794,1Nkg
2024-12-01,"Dude, Where's My Car?",2000,3,0,0,0,https://letterboxd.com/nichtlegacy/film/dude-wheres-my-car/,,dude-wheres-my-car,film:47562,1ZJi
2024-11-30,Super Troopers,2001,3,0,0,0,https://letterboxd.com/nichtlegacy/film/super-troopers/,,super-troopers,film:24933,12Rs
2024-11-28,Dumb and Dumber,1994,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/dumb-and-dumber/,,dumb-and-dumber,film:47705,206m
2024-11-27,Hall Pass,2011,3,0,0,0,https://letterboxd.com/nichtlegacy/film/hall-pass/,,hall-pass,film:16583,H8G
2024-11-27,Smiley Face,2007,4,1,1,0,https://letterboxd.com/nichtlegacy/film/smiley-face/2/,,smiley-face,film:44082,1QG0
2024-11-27,Your Highness,2011,2,0,0,0,https://letterboxd.com/nichtlegacy/film/your-highness/,,your-highness,film:26239,16g6
2024-11-25,Inherent Vice,2014,3,0,0,0,https://letterboxd.com/nichtlegacy/film/inherent-vice/,,inherent-vice,film:125830,5hla
2024-11-24,Harry Potter and the Prisoner of Azkaban,2004,4,0,1,0,https://letterboxd.com/nichtlegacy/film/harry-potter-and-the-prisoner-of-azkaban/,,harry-potter-and-the-prisoner-of-azkaban,film:51451,29Qy
2024-11-23,Zoolander,2001,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/zoolander/,,zoolander,film:47198,1YMA
2024-11-21,Grandma's Boy,2006,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/grandmas-boy-2006/,,grandmas-boy-2006,film:46734,1XzK
2024-11-20,The Nice Guys,2016,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-nice-guys/,,the-nice-guys,film:216301,94Hg
2024-11-19,High School,2010,2,0,0,0,https://letterboxd.com/nichtlegacy/film/high-school-2010/,,high-school-2010,film:34391,1rsW
2024-11-19,American Pie Presents: The Book of Love,2009,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/american-pie-presents-the-book-of-love/,,american-pie-presents-the-book-of-love,film:35567,1uwC
2024-11-18,American Pie Presents: Beta House,2007,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/american-pie-presents-beta-house/,,american-pie-presents-beta-house,film:47829,20qm
2024-11-18,American Pie Presents: The Naked Mile,2006,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/american-pie-presents-the-naked-mile/,,american-pie-presents-the-naked-mile,film:47831,20qG
2024-11-17,Harry Potter and the Chamber of Secrets,2002,4,0,1,0,https://letterboxd.com/nichtlegacy/film/harry-potter-and-the-chamber-of-secrets/,,harry-potter-and-the-chamber-of-secrets,film:51452,29QI
2024-11-15,The Number 23,2007,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-number-23/,,the-number-23,film:49641,258C
2024-11-13,Burn After Reading,2008,3,0,0,0,https://letterboxd.com/nichtlegacy/film/burn-after-reading/,,burn-after-reading,film:49054,23BW
2024-11-06,Wedding Crashers,2005,2,0,0,0,https://letterboxd.com/nichtlegacy/film/wedding-crashers/,,wedding-crashers,film:47078,1Yte
2024-11-06,Taken 2,2012,3,0,0,0,https://letterboxd.com/nichtlegacy/film/taken-2/,,taken-2,film:69169,2TWi
2024-11-05,Old School,2003,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/old-school/,,old-school,film:45116,1TmM
2024-11-04,Taken,2008,4,0,1,0,https://letterboxd.com/nichtlegacy/film/taken/,,taken,film:47648,1ZXa
2024-11-04,Knocked Up,2007,3,0,0,0,https://letterboxd.com/nichtlegacy/film/knocked-up/,,knocked-up,film:49035,23yS
2024-11-03,Dawn of the Dead,2004,3,0,0,0,https://letterboxd.com/nichtlegacy/film/dawn-of-the-dead-2004/,,dawn-of-the-dead-2004,film:51229,29gK
2024-11-03,Harry Potter and the Philosopher's Stone,2001,4,0,1,0,https://letterboxd.com/nichtlegacy/film/harry-potter-and-the-philosophers-stone/,,harry-potter-and-the-philosophers-stone,film:51453,29QS
2024-11-03,White Chicks,2004,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/white-chicks/,,white-chicks,film:44750,1SpK
2024-11-03,Blood and Bone,2009,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/blood-and-bone/,,blood-and-bone,film:38041,1AXE
2024-11-01,Harry Potter 20th Anniversary: Return to Hogwarts,2022,4,0,0,0,https://letterboxd.com/nichtlegacy/film/harry-potter-20th-anniversary-return-to-hogwarts/,,harry-potter-20th-anniversary-return-to-hogwarts,film:809443,xXJk
2024-10-31,Friday the 13th,2009,1.5,0,0,0,https://letterboxd.com/nichtlegacy/film/friday-the-13th-2009/,,friday-the-13th-2009,film:44048,1QAw
2024-10-31,The Thing,1982,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-thing/,,the-thing,film:51155,294O
2024-10-31,Terrifier 3,2024,3,0,0,0,https://letterboxd.com/nichtlegacy/film/terrifier-3/,,terrifier-3,film:932739,D8tM
2024-10-30,Half Baked,1998,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/half-baked/,,half-baked,film:47108,1Yy4
